Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
The Style Club,"Pittsburgh, P.A.",Clothing & Accessories,8,Deal,Mark Cuban,"$500,000",20.0%,"$500,000",22.0%,"E
L"
BarBell Apparel,"Las Vegas, Nevada",Clothing & Accessories,8,No Deal,—,"$500,000",5.0%,—,—,—
Seedsheets Garden Kits,"Middlebury, Vermont",Home & Tools,8,Deal,Lori Greiner,"$500,000",10.0%,"$500,000",20.0%,E
Lulu Bang - Gourmet Sauces,"Philadelphia, Pennsylvania",Food & Drink,8,No Deal,—,"$150,000",10.0%,—,—,—
Inboard M1 Electric Skateboard,"Santa Cruz, California",,8,Deal,"Lori Greiner, Kevin O'Leary","$750,000",4.0%,"$750,000",6.0%,"E
L"
Victory Coffees,"Austin, Texas",Food & Drink,8,No Deal,—,"$250,000",20.0%,—,—,—
Thompson Sweat Proof Undershirts,"Orange County, California",Clothing & Accessories,8,Deal,Robert Herjavec,"$700,000",7.0%,"$700,000",25.0%,E
ReThink - Cyberbullying Software,"Naperville, Illinois",,8,Deal,"Mark Cuban, Lori Greiner","$100,000",20.0%,"$100,000",20.0%,E
Little Nomad Play Mats,"West Hartford, Connecticut",,8,No Deal,—,"$80,000",15.0%,—,—,—
Safe Catch - Tuna Tested for Mercury,"Sausalito, California",Food & Drink,8,No Deal,—,"$600,000",3.0%,—,—,—
ENERGYbits Algae Tablets,"Boston, Massachusetts",,8,No Deal,—,"$500,000",5.0%,—,—,—
Edn Automated Indoor Gardens,"Denver, Colorado",Home & Tools,8,No Deal,—,"$150,000",10.0%,—,—,—
CropSticks Bamboo Chopsticks With Built-In Rest,"Honolulu, Hawaii",Home & Tools,8,No Deal,—,"$75,000",12.0%,—,—,—
UNPACK - Travel Without Packing,New York,Service,8,No Deal,—,"$500,000",40.0%,—,—,—
PetPlate - Human Grade Pet Food,"Brooklyn, New York",Pet Care,8,No Deal,—,"$100,000",10.0%,—,—,—
Naturally Perfect Dolls,"Miami, Florida",Kids & Toys,8,Deal,Daymond John,"$200,000",20.0%,"$200,000",30.0%,"E
L"
Wallet Buckle,Northern California,Clothing & Accessories,8,No Deal,—,"$500,000",10.0%,—,—,—
The Lapel Project,South Florida,Clothing & Accessories,8,Deal,Mark Cuban,"$150,000",20.0%,"$150,000",30.0%,E
RinseKit Portable Shower & Sprayer,"San Diego, California",Sports & Outdoors,8,Deal,Daymond John,"$250,000",5.0%,"$250,000",7.0%,E
Besomebody - Experience Marketplace,"Austin, Texas",,8,No Deal,—,"$1,000,000",10.0%,—,—,—
Line Cutterz - Ring That Cuts Fishing Line,Wisconsin,Sports & Outdoors,8,Deal,Daymond John,"$120,000",20.0%,"$120,000",33.0%,E
Hotels by Day,New York City,,8,No Deal,—,"$750,000",10.0%,—,—,—
Under the Weather Pop-up Tents,"Cincinnati, Ohio",Sports & Outdoors,8,Deal,Mark Cuban,"$600,000",10.0%,"$600,000",15.0%,E
SunScreenr Sunscreen Coverage Camera,"Chapel Hill, North Carolina",,8,Deal,Kevin O'Leary,"$800,000",10.0%,"$800,000",33.0%,E
Nootrobox Chewable Coffee & Supplements,"San Francisco, California",Beauty & Health,8,No Deal,—,"$2,000,000",5.0%,—,—,—
Grease Bags Eco-Friendly Oil Disposal,"Allen, Texas",Home & Tools,8,Deal,Barbara Corcoran,"$75,000",25.0%,"$75,000",50.0%,E
Rumi Spice Saffron,"Chicago, Illinois",Food & Drink,8,Deal,Mark Cuban,"$250,000",5.0%,"$250,000",15.0%,E
GoodHangups - Magnetic Poster Hanging System,"Seattle, Washington",Home & Tools,8,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",10.0%,"L
E"
DBest Products - Collapsible Carts,"Manhattan Beach, California",Home & Tools,8,Deal,"Lori Greiner, Mark Cuban","$350,000",5.0%,"$700,000",15.0%,"E
L"
Solemates Hight Heel Protector Cap,"Bainbridge Island, Washington",Clothing & Accessories,8,Deal,Robert Herjavec,"$500,000",10.0%,"$500,000",20.0%,E
Milk Snob - Infant Car Seat & Nursing Cover,"Allen, Texas",,8,Deal,Lori Greiner,"$125,000",5.0%,"$150,000",10.0%,E
Bitsbox - Teaches Kids to Code,"Boulder, Colorado",,8,No Deal,—,"$250,000",3.0%,—,—,—
Guard Llama Personal Safety Device Calls 911,"Chicago, Illinois",Tech & Electronics,8,Deal,Barbara Corcoran,"$100,000",5.0%,"$100,000",18.0%,"E
L"
Potato Parcel - Handwritten Potato Messages,"Dallas, Texas",Entertainment & Arts,8,Deal,Kevin O'Leary,"$50,000",10.0%,"$50,000",10.0%,"E
R"
Nomiku Sous Vide Cooker,"San Francisco, California",Home & Tools,8,Deal,Chris Sacca,"$250,000",5.0%,"$250,000",10.0%,E
Pinblock - Building Blocks That Move,"Brooklyn, New York",Kids & Toys,8,Deal,Kevin O'Leary,"$100,000",20.0%,"$100,000",50.0%,E
All-In-One Scooping Bowl,"Colorado Springs, Colorado",Home & Tools,8,Deal,Lori Greiner,"$75,000",25.0%,"$75,000",33.0%,E
Ice Age Meals - Paleo Diet Frozen Foods,"Truckee, California",Food & Drink,8,No Deal,—,"$1,000,000",10.0%,—,—,—
Tranquilo - Vibrating Baby Mat (Now part of Baby Brezza),"Boston, Massachusetts",Kids & Toys,8,Deal,Robert Herjavec,"$100,000",10.0%,"$200,000",15.0%,E
Atlantic Candy Company,"St. Augustine, Florida",Food & Drink,8,No Deal,—,"$1,000,000",10.0%,—,—,—
Jack's Marketplace & Stands,"Denver, Colorado",Service,8,Deal,Chris Sacca,"$50,000",10.0%,"$50,000",2.0%,"E
L"
Sand Cloud Beach Towels,"San Diego, California",Home & Tools,8,Deal,Robert Herjavec,"$200,000",8.0%,"$200,000",15.0%,E
Flag - Free Photo Printing,Not Specified,Apps,8,No Deal,—,"$375,000",5.0%,—,—,—
Mama's Milkbox - Maternity Clothing For Breastfeeding,"Pittsburgh, Pennsylvania",Clothing & Accessories,8,No Deal,—,"$200,000",20.0%,—,—,—
Wine and Design Painting Classes,"Raleigh, North Carolina",Entertainment & Arts,8,Deal,Kevin O'Leary,"$500,000",10.0%,"$500,000",10.0%,"E
L"
Fish Call - Fish Attractor,"Mandeville, Louisiana",Sports & Outdoors,8,Deal,Robert Herjavec,"$150,000",10.0%,"$150,000",10.0%,E
Doc Spartan - Skin Care and Ointment,"Portsmouth, Ohio",Beauty & Health,8,Deal,Robert Herjavec,"$75,000",15.0%,"$75,000",25.0%,E
Biem Butter Sprayer,"Austin, Texas",,8,Deal,Lori Greiner,"$500,000",5.0%,"$500,000",14.0%,E
Chi'Lantro Korean BBQ,"Austin, Texas",Food & Drink,8,Deal,Barbara Corcoran,"$600,000",15.0%,"$600,000",20.0%,E
Sealed By Santa Letters,"Delray Beach, Florida",Kids & Toys,8,Deal,Lori Greiner,"$150,000",20.0%,"$75,000",22.0%,"E
L"
Ora Organic Plant Based Supplements,"San Diego, California",Beauty & Health,8,No Deal,—,"$375,000",5.0%,—,—,—
Validated App For Free Rides,"Portland, Oregon",Apps,8,No Deal,—,"$250,000",8.0%,—,—,—
NicePipes Apparel,"Los Angeles, California",Clothing & Accessories,8,No Deal,—,"$100,000",10.0%,—,—,—
Rocketbook Reusable Notebook,"Boston, Massachusetts",Tech & Electronics,8,No Deal,—,"$400,000",10.0%,—,—,—
Raising Wild Swimwear,"St Cloud, Florida",Clothing & Accessories,8,Deal,Barbara Corcoran,"$100,000",20.0%,"$100,000",50.0%,—
Peaceful Fruits - Acai Berry Fruit Snacks,"Akron, Ohio",Food & Drink,8,No Deal,—,"$75,000",20.0%,—,—,—
The Sleep Styler,"San Diego, California",Beauty & Health,8,Deal,Lori Greiner,$75,20.0%,"$75,000",25.0%,E
Angels and Tomboys Kids Losion,"Atlanta, Georgia",,8,Deal,"Mark Cuban, Daymond John","$55,000",20.0%,"$60,000",33.0%,E
Toor - Key Lockbox and Real Estate App,"Dallas, Texas",,8,Deal,"Barbara Corcoran, Kevin O'Leary","$500,000",10.0%,"$200,000",10.0%,"E
L"
PolyGlide Synthetic Ice,New York,Sports & Outdoors,8,No Deal,—,"$150,000",20.0%,—,—,—
DartDrones - Drone Pilot Training,"Scranton, Pennsylvania",,8,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",10.0%,E
Guardian Bikes - World's Safest Bicycles,"Irvine, California",Kids & Toys,8,Deal,Mark Cuban,"$500,000",10.0%,"$500,000",15.0%,E
Chirps Cricket Products,"San Francisco, California",Food & Drink,8,Deal,Mark Cuban,"$100,000",7.0%,"$100,000",15.0%,E
Laid Brand Pheromone Infused Hair Care,"Tampa, Florida",Beauty & Health,8,No Deal,—,"$30,000",30.0%,—,—,—
The Cookie Kahuna,"Honolulu, Hawaii",Food & Drink,8,No Deal,—,"$50,000",20.0%,—,—,—
Firefighter Turnout Bags,"San Diego, California",Clothing & Accessories,8,Deal,Lori Greiner,"$250,000",33.0%,"$250,000",50.0%,E
Blendtique - Create Your Own Wine Blend,"Los Olivos, California",Food & Drink,8,Deal,Lori Greiner,"$250,000",10.0%,"$250,000",10.0%,"E
L"
SandiLake Clothing,"Portland, Oregon",Clothing & Accessories,8,No Deal,—,"$100,000",10.0%,—,—,—
Digiwrap Custom Wrapping Paper,"Elmhurst, Illinois",Home & Tools,8,Deal,Kevin O'Leary,"$150,000",10.0%,"$150,000",20.0%,"E
R"
The Elephant Pants,"Brooklyn, New York",Clothing & Accessories,8,Deal,Daymond John,"$500,000",10.0%,"$500,000",15.0%,E
Goverre Sippy Cup For Wine,"San Marcos, California",Home & Tools,8,Deal,"Mark Cuban, Lori Greiner, Robert Herjavec","$200,000",13.0%,"$200,000",33.0%,E
PiperWai - Charcoal-based Deodorant,"Walnut Street, Philadelphia",Beauty & Health,7,Deal,Barbara Corcoran,"$50,000",10.0%,"$50,000",25.0%,E
Rags to Raches,"Colorado, USA",Kids & Toys,7,Deal,Robert Herjavec,"$200,000",10.0%,"$200,000",15.0%,E
Spooner Balance Boards,"National City, California",Sports & Outdoors,7,Deal,"Barbara Corcoran, Mark Cuban","$400,000",16.0%,"$400,000",16.0%,E
Mikki Bey Eyelash Extensions,"Los Angeles, California",Beauty & Health,7,No Deal,—,"$300,000",20.0%,—,—,—
Grip Clean - Industrial Hand Soap,"Murrieta, California",Home & Tools,7,Deal,Lori Greiner,"$85,000",20.0%,"$85,000",35.0%,E
Village Scholarships - Crowdfunding Education,"Denver, Colorado",Apps,7,No Deal,—,"$125,000",10.0%,—,—,—
The Good Promise Smoothies &amp; Sauces,"Austin, Texas",Food & Drink,7,No Deal,—,"$100,000",20.0%,—,—,—
The Skinny Mirror,,Home & Tools,7,No Deal,—,"$200,000",20.0%,—,—,—
Bee Free Honee - Apple-based Honey Substitute,"Minneapolis, Minnesota (Katie Sanchez), Nolanville, Texas (Melissa Elms)",Food & Drink,7,Deal,"Barbara Corcoran, Mark Cuban, Chris Sacca","$100,000",10.0%,"$210,000",30.0%,E
Jarrett &amp; Raja Productions - Musical Magician Show,"Las Vegas, Nevada",Entertainment & Arts,7,No Deal,—,"$750,000",40.0%,—,—,—
Rent Like A Champion - Vacation Rentals,"South Bend, Indiana",Service,7,Deal,"Mark Cuban, Chris Sacca","$200,000",10.0%,"$200,000",10.0%,E
ABS Protein Pancakes,"Tampa, Florida",Food & Drink,7,Deal,Daymond John,"$120,000",40.0%,"$120,000",42.0%,E
BetterBack Posture Corrector,"San Francisco, California",Beauty & Health,7,Deal,Lori Greiner,"$750,000",7.5%,"$750,000",8.0%,E
Camp No Counselors - Adult Summer Camp,"Paradox Lake, New York",Entertainment & Arts,7,No Deal,—,"$300,000",7.5%,—,—,—
LOLIWARE Edible Drinkware,"Beacon, New York",Food & Drink,7,Deal,"Mark Cuban, Barbara Corcoran","$150,000",10.0%,"$600,000",25.0%,E
PolarPro - Gear for Content Creators,"Costa Mesa, California",Tech & Electronics,7,Deal,"Robert Herjavec, Mark Cuban","$500,000",10.0%,"$1,000,000",20.0%,E
Beard King - Beard Bib Apron,"Deerfield Beach, Florida",Beauty & Health,7,Deal,Lori Greiner,"$100,000",20.0%,"$100,000",45.0%,E
Wondercide - Pest Control for Pets,"Austin, Texas",Pet Care,7,Deal,Lori Greiner,"$500,000",5.0%,"$500,000",3.0%,E
Switch Witch Children's Book and Doll,"Denver, Colorado",Kids & Toys,7,No Deal,—,"$55,000",25.0%,—,—,—
Float Baby - Floating Class,"Houston, Texas",Kids & Toys,7,No Deal,—,"$150,000",20.0%,—,—,—
KidRunner - Hands-free Running Stroller,"Bend, Oregon",Sports & Outdoors,7,No Deal,—,"$500,000",20.0%,—,—,—
HotShot Coffee,"New York, USA",Food & Drink,7,No Deal,—,"$300,000",10.0%,—,—,—
Extreme Sandbox - Heavy Equipment Adventures,"Hastings, Minnesota",Entertainment & Arts,7,Deal,"Kevin O'Leary, Mark Cuban","$150,000",15.0%,"$150,000",20.0%,E
Glace Cryotherapy,"Mountain View, California",Beauty & Health,7,Deal,Barbara Corcoran,"$100,000",15.0%,"$100,000",30.0%,—
Extreme Vehicle Protection - Flood Protection Bag for Cars,"Brooklyn, New York (Kenny Lerner), North Carolina (Matthew Harris)",Automotive & Industrial,7,Deal,Daymond John,"$50,000",20.0%,"$50,000",33.3%,E
Foot Cardigan Sock Subscription,"Dallas, Texas",Clothing & Accessories,7,Deal,"Mark Cuban, Troy Carter","$250,000",10.0%,"$250,000",20.0%,E
National Association of Bubble Soccer,"New York, USA",Sports & Outdoors,7,No Deal,—,"$160,000",10.0%,—,—,—
SHEFIT Adjustable Sports Bras,"Grand Rapids, Michigan",Clothing & Accessories,7,Deal,Daymond John,"$250,000",20.0%,"$250,000",33.3%,E
PrideBites - Customized Pet Products,"Tuscany Way Austin, Texas",Pet Care,7,Deal,"Lori Greiner, Robert Herjavec","$200,000",10.0%,"$200,000",20.0%,E
xCraft Drones,"Coeur d'Alene, Idaho",Tech & Electronics,7,Deal,"Kevin O'Leary, Mark Cuban, Lori Greiner, Daymond John, Robert Herjavec","$500,000",20.0%,"$1,500,000",25.0%,E
MTailor Custom Clothes,"Oakland, California",Clothing & Accessories,7,No Deal,—,"$2,500,000",10.0%,—,—,—
InchBug - Personalized Bottle Name Labels,"Austin, Texas",Kids & Toys,7,No Deal,—,"$400,000",10.0%,—,—,—
Windcatcher Quick Inflating Air Mattress,"Brooklyn, New York",Sports & Outdoors,7,Deal,Lori Greiner,"$200,000",8.0%,"$200,000",5.0%,E
Total Tie Keep - Necktie Accessory,"Nokesville, Virginia",Clothing & Accessories,7,No Deal,—,"$50,000",25.0%,—,—,—
LINKA - Smart Bike Lock,"San Francisco, California",Sports & Outdoors,7,No Deal,—,"$250,000",10.0%,—,—,—
Gladiator Lacrosse - Training Equipment,"Boca Raton, Florida",Sports & Outdoors,7,No Deal,—,"$100,000",15.0%,—,—,—
ValPark Mobile Parking Solution,"Upper Marlboro, Maryland",Apps,7,No Deal,—,"$300,000",20.0%,—,—,—
Brazi Bites - Brazilian Cheese Bread,"Portland, Oregon",Food & Drink,7,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",16.5%,E
CO.ALITION Backpack,"Denver, Colorado",Clothing & Accessories,7,No Deal,—,"$200,000",20.0%,—,—,—
TROBO - STEM Toy,"Orlando, Florida",Kids & Toys,7,Deal,Robert Herjavec,"$100,000",10.0%,"$166,000",33.3%,E
Leaux Racing Trikes,"San Diego, California",Sports & Outdoors,7,No Deal,—,"$120,000",20.0%,—,—,—
Sworkit Fitness App,"Bethesda, Maryland",Apps,7,Deal,Mark Cuban,"$1,500,000",8.0%,"$1,500,000",10.0%,—
FashionTap - Fashion App for Influencers,"Los Angeles, California",Apps,7,No Deal,—,"$100,000",10.0%,—,—,—
STEM Center USA - STEM Education Programs,"Claremont, California",Kids & Toys,7,Deal,Lori Greiner,"$150,000",15.0%,"$200,000",20.0%,E
FireAvert - Fire Prevention Device,"Mapleton, Utah",Home & Tools,7,Deal,Lori Greiner,"$300,000",7.0%,"$300,000",10.0%,E
Teaspressa Tea,"Phoenix, Arizona",Food & Drink,7,No Deal,—,"$50,000",10.0%,—,—,—
VPCabs - Virtual Pinball Machine,"Cincinnati, Ohio",Tech & Electronics,7,Deal,Daymond John,"$200,000",10.0%,"$200,000",25.0%,E
The Two Guys' Bow Tie Co. - Wooden Bowtie,"Tulsa, Oklahoma",Clothing & Accessories,7,Deal,Daymond John,"$150,000",10.0%,"$150,000",17.5%,E
Umano Clothing,"San Francisco, California",Clothing & Accessories,7,Deal,"Lori Greiner, Mark Cuban","$150,000",15.0%,"$150,000",20.0%,E
IcyBreeze - Portable Air Conditioner and Cooler,"Sweetwater, Texas",Home & Tools,7,No Deal,—,"$50,000",5.0%,—,—,—
NoPhone - Fake Phone,New York City,Entertainment & Arts,7,No Deal,—,"$25,000",15.0%,—,—,—
Glow Recipe,New York,Beauty & Health,7,Deal,Robert Herjavec,"$425,000",10.0%,"$425,000",25.0%,E
Clean Sleep Mattress Cleaners,"Lewisville, Texas",Service,7,No Deal,—,"$1,500,000",15.0%,—,—,—
Brellabox - Umbrella Rental,"Fredericksburg, Virginia",Service,7,No Deal,—,"$400,000",20.0%,—,—,—
The Beebo,"Loxahatchee, Florida",Kids & Toys,7,Deal,"Lori Greiner, Ashton Kutcher","$200,000",20.0%,"$200,000",30.0%,E
Wink Frozen Desserts,"Stamford, Connecticut",Food & Drink,7,No Deal,—,"$300,000",15.0%,—,—,—
Spretz - Breath and Hand Freshener,USA,Beauty & Health,7,No Deal,—,"$100,000",20.0%,—,—,—
MobCraft Beer,"Milwaukee, Wisconsin",Food & Drink,7,No Deal,—,"$400,000",16.0%,—,—,—
Pete &amp; Pedro - Men's Hair Styling Products,,Beauty & Health,7,Deal,Barbara Corcoran,"$100,000",10.0%,"$100,000",10.0%,E
Nerdwax - Glasses Wax,"Nashville, Tennessee",Clothing & Accessories,7,No Deal,—,"$80,000",20.0%,—,—,—
2400 Expert - SAT/ACT Prep Course,"Las Vegas, Nevada",Service,7,Deal,Mark Cuban,"$250,000",10.0%,"$250,000",20.0%,E
Coolbox Smart Toolbox,USA,Home & Tools,7,Deal,Lori Greiner,"$500,000",10.0%,"$500,000",15.0%,E
Sarah Oliver Handbags,"Mill Valley, California",Clothing & Accessories,7,Deal,"Robert Herjavec, Lori Greiner, Kevin O'Leary","$250,000",20.0%,"$250,000",30.0%,E
Tutublue - Sun Protective Swimwear,"Santa Monica, California",Clothing & Accessories,7,No Deal,—,"$200,000",25.0%,—,—,—
My Fruity Faces - Edible Stickers,"Altadena, California",Kids & Toys,7,No Deal,—,"$200,000",10.0%,—,—,—
Acton Rocket Skates,"Reno, Nevada",Tech & Electronics,7,No Deal,—,"$1,000,000",3.5%,—,—,—
Saavy Naturals,"Chatsworth, California",Beauty & Health,7,Deal,Barbara Corcoran,"$200,000",10.0%,"$200,000",40.0%,E
Hungry Harvest - Ugly Produce Delivery,"Baltimore, Maryland",Food & Drink,7,Deal,Robert Herjavec,"$50,000",5.0%,"$100,000",10.0%,E
Beloved Shirts,"Provo, Utah",Clothing & Accessories,7,No Deal,—,"$175,000",5.0%,—,—,—
PMS Bites,"Boston, Massachusetts",Food & Drink,7,No Deal,—,"$50,000",20.0%,—,—,—
Table 87 Coal Oven Pizza,"Brooklyn, New York",Food & Drink,7,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",18.5%,E
R. Riveter Handbags,"Washington, D.C.",Clothing & Accessories,7,Deal,Mark Cuban,"$100,000",20.0%,"$100,000",20.0%,E
Petnostics - Pet Health Indicator,"Anaheim, California",Pet Care,7,Deal,"Lori Greiner, Kevin O'Leary","$300,000",10.0%,"$300,000",20.0%,E
Trunkster Smart Luggage,Argentina (Gaston Blanchet) and New York (Jesse Potash),Home & Tools,7,Deal,"Mark Cuban, Lori Greiner","$1,400,000",5.0%,"$1,400,000",5.0%,E
Nohbo Water-soluble Packaging,"Palm Bay, Florida",Beauty & Health,7,Deal,Mark Cuban,"$100,000",20.0%,"$100,000",25.0%,E
Brightwheel - Childcare Management Software,"San Francisco, California",Kids & Toys,7,Deal,"Mark Cuban, Chris Sacca","$400,000",4.0%,"$600,000",6.7%,E
McClary Bros. Drinking Vinegars,"Detroit, Michigan",Food & Drink,7,No Deal,—,"$100,000",15.0%,—,—,—
Simply Fit Board,"Lamar, Colorado",Beauty & Health,7,Deal,Lori Greiner,"$125,000",15.0%,"$125,000",20.0%,E
Controlled Chaos - Hair Products for Curly Hair,"Portland, Maine",Beauty & Health,7,Deal,Lori Greiner,"$50,000",20.0%,"$60,000",50.0%,E
IllumiBowl - Toilet Night Light,"American Fork, Utah",Home & Tools,7,Deal,Kevin O'Leary,"$100,000",15.0%,"$100,000",25.0%,E
Felt - Digital Handwritten Cards,"Colorado, United States",Apps,7,Deal,Kevin O'Leary,"$200,000",6.0%,"$225,000",10.0%,E
EZ-Pee-Z Potty Seat,"Riverview, Florida",Kids & Toys,7,No Deal,—,"$50,000",15.0%,—,—,—
BearTek Smart Gloves,"Columbia, Maryland (Willie Blount), Dallas, Texas (Tarik Rodgers)",Tech & Electronics,7,No Deal,—,"$500,000",5.0%,—,—,—
Frends - Designer Headphones,"Encinitas, California",Tech & Electronics,7,No Deal,—,"$1,000,000",7.6%,—,—,—
GeekMyTree Animated Glow Balls,"Grand Haven, Michigan",Home & Tools,7,Deal,Kevin O'Leary,"$225,000",25.0%,"$225,000",50.0%,E
InstaFire - Instant Fire-starter,"Riverdale, Utah",Home & Tools,7,Deal,"Mark Cuban, Lori Greiner","$300,000",10.0%,"$300,000",30.0%,E
Dollop Gourmet - Vegan Frosting,"Penfield, New York",Food & Drink,7,Deal,Barbara Corcoran,"$75,000",20.0%,"$75,000",25.0%,E
SignalVault - Credit Card Protector,"Sanford, Florida",Tech & Electronics,7,Deal,"Robert Herjavec, Lori Greiner","$200,000",12.5%,"$200,000",25.0%,E
Clean Cube - Automated Doorman Service,"New York City, New York",Tech & Electronics,7,No Deal,—,"$300,000",10.0%,—,—,—
EZPZ Toddler Meal Mats,"Parker, Colorado",Kids & Toys,7,No Deal,—,"$1,000,000",5.0%,—,—,—
Innovation Pet,USA,Pet Care,7,Deal,Daymond John,"$250,000",5.0%,"$250,000",37.5%,E
Pavlok - Electric Shock Bracelet,"Boston, Massachusetts",Tech & Electronics,7,No Deal,—,"$500,000",3.1%,—,—,—
Milk + Brookies,"Los Angeles, California",Food & Drink,7,No Deal,—,"$100,000",20.0%,—,—,—
Major Mom - Home Organization Service,"Denver, Colorado",Service,7,No Deal,—,"$150,000",20.0%,—,—,—
popSLATE - Smartphone Case,"Burlingame, California",Clothing & Accessories,7,No Deal,—,"$500,000",5.0%,—,—,—
Beard Head - Beard Hats,"Somerville, Massachusetts",Clothing & Accessories,7,No Deal,—,"$250,000",25.0%,—,—,—
Custard Stand Hot Dog Chili,"Webster Springs, West Virginia",Food & Drink,7,No Deal,—,"$400,000",10.0%,—,—,—
CreaProducts - Hair-cutting Tools,"Honolulu, Hawaii",Beauty & Health,7,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",22.5%,E
O'Dang Hummus,"New York, USA",Food & Drink,7,Deal,"Robert Herjavec, Lori Greiner","$50,000",10.0%,"$50,000",20.0%,E
AfreSHEET - Disposable Layered Bed Sheets,"Greater New York Area, East Coast",Home & Tools,7,No Deal,—,"$100,000",20.0%,—,—,—
Fixed App for Parking and Traffic Tickets,"San Francisco, California",Apps,7,Deal,Mark Cuban,"$700,000",5.0%,"$700,000",7.0%,E
Beer Blizzard - Beer Can Ice Pack,"Los Alamitos, California",Home & Tools,7,Deal,Mark Cuban,"$100,000",20.0%,"$100,000",25.0%,E
DUDE Wipes,"Chicago, Illinois",Beauty & Health,7,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",25.0%,E
Combat Flip Flops,"Issaquah, Washington",Clothing & Accessories,7,Deal,"Daymond John, Lori Greiner, Mark Cuban","$150,000",10.0%,"$300,000",30.0%,E
Slyde Handboards,"Orange County, California",Sports & Outdoors,7,Deal,"Mark Cuban, Ashton Kutcher","$200,000",15.0%,"$200,000",22.0%,E
Lovepop - Pop-up Greeting Cards,"Boston, Massachusetts",Entertainment & Arts,7,Deal,Kevin O'Leary,"$300,000",10.0%,"$300,000",15.0%,E
PRx Performance - Fold-out Weight-lifting System,"Fargo, USA",Sports & Outdoors,7,Deal,Kevin O'Leary,"$80,000",10.0%,"$80,000",20.0%,—
Yourself Expression - Custom Jewelry,"Jacksonville, Florida",Clothing & Accessories,7,No Deal,—,"$50,000",20.0%,—,—,—
Splikity Password Protector,"Paradise Valley, Arizona",Apps,7,No Deal,—,"$200,000",10.0%,—,—,—
Unshrinkit - Unshrinking Solution for Clothing,"Cambridge, Massachusetts",Home & Tools,7,Deal,Mark Cuban,"$150,000",10.0%,"$150,000",15.0%,E
Hatch Baby Smart Changing Pad and Scale,"Palo Alto, California",Kids & Toys,7,Deal,Chris Sacca,"$250,000",2.5%,"$250,000",25.0%,E
Vengo Smart Vending Machine,"Bethpage, New York",Tech & Electronics,7,Deal,"Lori Greiner, Kevin O'Leary","$2,000,000",12.5%,"$2,000,000",3.0%,E
Three Jerks Jerky,"Miami (Barrocas), Los Angeles (Fogelson)",Food & Drink,7,Deal,Daymond John,"$100,000",15.0%,"$100,000",15.0%,E
SockTabs,"Rockford, Illinois",Home & Tools,7,Deal,Daymond John,"$50,000",20.0%,"$50,000",30.0%,E
SmartPlate Portion Control Device,"Austin, Texas",Tech & Electronics,7,No Deal,—,"$1,000,000",15.0%,—,—,—
The Drip Drop - Edible Waffle Ring,"Somerville, Massachusetts",Food & Drink,7,Deal,Barbara Corcoran,"$50,000",20.0%,"$50,000",33.3%,E
Bottle Breacher Bullet Bottle Opener,"Tucson, Arizon",Home & Tools,6,Deal,"Mark Cuban, Kevin O'Leary","$150,000",10.0%,"$150,000",20.0%,E
Phonesoap UV Phone Sanitizer &amp; Charger,"Provo, Utah",Tech & Electronics,6,Deal,Lori Greiner,"$300,000",7.5%,"$300,000",-3.0%,E
Forus Athletic Shoes,"Indianapolis, Indiana",Clothing & Accessories,6,No Deal,—,"$200,000",15.0%,—,—,—
Frameri - Interchangeable Eyeglass Frames,"Cincinnati, Ohio",Clothing & Accessories,6,No Deal,—,"$150,000",3.5%,—,—,—
Ninja Cards Throwing Game,,Kids & Toys,6,No Deal,—,"$60,000",30.0%,—,—,—
Gameday Couture Fan Apparel For Women,"Oklahoma, USA",Clothing & Accessories,6,Deal,Mark Cuban,"$500,000",20.0%,"$500,000",30.0%,E
The BoobyPack Sport Bra,,Clothing & Accessories,6,Deal,Barbara Corcoran,"$80,000",20.0%,"$80,000",25.0%,E
Honeyfund Honeymoon Fundraising Platform,"Sebastopol, California",Apps,6,Deal,Kevin O'Leary,"$400,000",10.0%,"$400,000",—,L
Bottle Bright Cleans Water Bottles,"St Oakland, California",Home & Tools,6,Deal,Lori Greiner,"$75,000",15.0%,"$75,000",33.0%,E
EmazingLights,"Anaheim, California",Clothing & Accessories,6,Deal,"Daymond John, Mark Cuban","$650,000",5.0%,"$650,000",5.0%,E
Gato Cafe - Cafe With Cats,"Boca Raton, Florida",Food & Drink,6,No Deal,—,"$100,000",20.0%,—,—,—
Sleeping Baby - Zipadee,"Fort Worth, Texas",Kids & Toys,6,Deal,Daymond John,"$200,000",10.0%,"$200,000",20.0%,E
Storm Stoppers,"Orlando, Florida",Home & Tools,6,No Deal,—,"$100,000",10.0%,—,—,—
Fresh Patch - Indoor Grass For Dogs,"Davenport, Florida",Pet Care,6,Deal,"Mark Cuban, Barbara Corcoran","$150,000",10.0%,"$150,000",20.0%,E
