Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Tabby - The Cat Person's Dating App,"New Orleans, Louisiana",Apps,13,Deal,Kevin O'Leary,"$300,000",20.0%,"$300,000",30.0%,E
Santa's Enchanted Mailbox,"Wallingford, Connecticut",Kids & Toys,13,No Deal,—,"$150,000",30.0%,—,—,—
Driftline Boardshorts,San Diego,Clothing & Accessories,13,No Deal,—,"$100,000",10.0%,—,—,—
RomperJack Jumpsuits,"Santa Clarita, California",Clothing & Accessories,13,No Deal,—,"$200,000",5.0%,—,—,—
No Limbits Adaptive Clothing,"Iowa City, Iowa",Clothing & Accessories,13,Deal,"Emma Grede, Mark Cuban","$100,000",6.0%,"$100,000",10.0%,E
Long Wharf Supply Co. Apparel,New England,Clothing & Accessories,13,No Deal,—,"$375,000",15.0%,—,—,—
Hello Prenup Online Prenuptial Agreement,"Boston, Massachusetts",Service,13,Deal,"Kevin O'Leary, Nirav Tolia","$150,000",20.0%,"$150,000",30.0%,E
Ade + Ayo Children's Clothing,"Oakland, California",Kids & Toys,13,Deal,Barbara Corcoran,"$175,000",10.0%,"$200,000",33.0%,"E
L"
Cupbop Korean BBQ,Utah,Food & Drink,13,Deal,Mark Cuban,"$1,000,000",3.0%,"$1,000,000",5.0%,E
SoaPen Hand Washing Soap For Kids,New York,Kids & Toys,13,Deal,Nirav Tolia,"$100,000",10.0%,"$100,000",10.0%,"E
R
L"
Young King Hair Care,"Atlanta, Georgia",Beauty & Health,13,No Deal,—,"$225,000",2.0%,—,—,—
Chill-N-Reel Fishing Can Koozie,"Sand Springs, Oklahoma (Chase Terrell) and Austin, Texas (Chris Diede)",Home & Tools,13,No Deal,—,"$300,000",10.0%,—,—,—
VaBroom - Broom With Built-In Vacuum,"Champlin, Minnesota and White Bear Lake, Minnesota",Home & Tools,13,Deal,Kevin O'Leary,"$350,000",2.0%,"$350,000",2.0%,"E
R
L"
Apolla Compression Socks,"Florida (Kaycee), Michigan (Bri)",Clothing & Accessories,13,Deal,Lori Greiner,"$300,000",15.0%,"$300,000",25.0%,E
Hidrent Hire a Firefighter,"Dallas, Texas",Service,13,Deal,"Robert Herjavec, Lori Greiner","$300,000",8.0%,"$300,000",33.0%,E
Sunflow Beach Chairs,"Short Hills, New Jersey",Sports & Outdoors,13,Deal,Kevin O'Leary,"$1,000,000",6.0%,"$1,000,000",5.0%,"E
R
L"
Plunge Cold Water Immersion,"Sacramento, California",Beauty & Health,13,Deal,Robert Herjavec,"$1,200,000",5.0%,"$2,400,000",12.0%,"E
L"
54 Thrones African Beauty Products,"Houston, Texas",Beauty & Health,13,Deal,"Nirav Tolia, Kevin O'Leary","$250,000",10.0%,"$250,000",17.0%,E
Pawnix Noise-Canceling Headphones For Dogs,"Petoskey, Michigan",Pet Care,13,No Deal,—,"$150,000",10.0%,—,—,—
The Transformation Factory Sea Moss,Bahamas,Food & Drink,13,Deal,"Kevin Hart, Mark Cuban","$500,000",5.0%,"$600,000",20.0%,E
ROQ Innovation Head Lightz Beanies,"Chicago, Illinois",Clothing & Accessories,13,Deal,"Kevin O'Leary, Peter Jones","$200,000",15.0%,"$200,000",20.0%,"E
R
L"
FORT Magnetic Pillow,"St Louis, Missouri",Kids & Toys,13,No Deal,—,"$500,000",10.0%,—,—,—
Deux Healthy Cookie Dough,"Dallas, Texas",Food & Drink,13,No Deal,—,"$300,000",10.0%,—,—,—
ootBox Moveable Workspaces,"Columbus, Ohio",Home & Tools,13,Deal,Barbara Corcoran,"$300,000",5.0%,"$300,000",10.0%,E
Handy Pan,"Columbus, Ohio",Home & Tools,13,Deal,Lori Greiner,"$10,000",20.0%,"$10,000",20.0%,E
Magic Dates Snack Bites,"California, USA",Food & Drink,13,Deal,Kevin O'Leary,"$150,000",10.0%,"$150,000",33.0%,E
The Players Trunk,Not specified,Entertainment & Arts,13,No Deal,—,"$650,000",5.0%,—,—,—
Tania Speaks Skincare,"Baltimore, Maryland",Beauty & Health,13,Deal,Mark Cuban,"$400,000",10.0%,"$400,000",15.0%,E
SwiftPaws Dog Lure Toy,"Malabar, Florida",Pet Care,13,Deal,Lori Greiner,"$240,000",6.0%,"$240,000",6.0%,E
Sheets Laundry Club,"Mooresville, North Carolina",Home & Tools,13,Deal,Daniel Lubetzky,"$500,000",5.0%,"$500,000",8.0%,E
Do Amore Jewelry,"Houston, Texas",Clothing & Accessories,13,Deal,Daniel Lubetzky,"$600,000",6.0%,"$600,000",15.0%,E
Hampton Adams Athletic Tape,"Las Vegas, Nevada",Sports & Outdoors,13,No Deal,—,"$500,000",10.0%,—,—,—
